replicate,model,model_label,n_train,n_test,roc_auc,f1,accuracy,precision,recall,brier,ece
75,compressed,Compressed Derived,378,129,0.8919378338999515,0.8703703703703703,0.8914728682170543,0.94,0.8103448275862069,0.09705153140168071,0.0746139404629977
75,enhanced,Compressed + Interaction,378,129,0.8912093249150073,0.8703703703703703,0.8914728682170543,0.94,0.8103448275862069,0.09701460416520823,0.06124728251425368
76,orig_quality_hr,Original: Quality + HR,390,155,0.9520769492679606,0.920863309352518,0.9290322580645162,0.8767123287671232,0.9696969696969697,0.070093863700508,0.08141238502108664
76,orig_sleep_pa,Original: Sleep + PA,390,155,0.9499489274770173,0.920863309352518,0.9290322580645162,0.8767123287671232,0.9696969696969697,0.07420396930470528,0.09466312969354665
76,orig_sleep_hr,Original: Sleep + HR,390,155,0.9543752128021791,0.920863309352518,0.9290322580645162,0.8767123287671232,0.9696969696969697,0.07307389255703166,0.08978327475497902
76,orig_quality_pa,Original: Quality + PA,390,155,0.9559925093632959,0.920863309352518,0.9290322580645162,0.8767123287671232,0.9696969696969697,0.0699627866941453,0.08357208012867849
76,compressed,Compressed Derived,390,155,0.9480762683009875,0.920863309352518,0.9290322580645162,0.8767123287671232,0.9696969696969697,0.07184498757468066,0.08480773749260401
76,enhanced,Compressed + Interaction,390,155,0.9480762683009873,0.920863309352518,0.9290322580645162,0.8767123287671232,0.9696969696969697,0.07093463663176208,0.08168423534084754
77,orig_quality_hr,Original: Quality + HR,418,122,0.9163303739574926,0.9384615384615385,0.9344262295081968,0.9104477611940298,0.9682539682539683,0.07473334473949375,0.07453497468499194
77,orig_sleep_pa,Original: Sleep + PA,418,122,0.9229217110573044,0.9242424242424242,0.9180327868852459,0.8840579710144928,0.9682539682539683,0.07765292978295332,0.09014194174282078
77,orig_sleep_hr,Original: Sleep + HR,418,122,0.9167339252085014,0.9242424242424242,0.9180327868852459,0.8840579710144928,0.9682539682539683,0.07887331386552354,0.08931204075931254
77,orig_quality_pa,Original: Quality + PA,418,122,0.9262846381490449,0.9242424242424242,0.9180327868852459,0.8840579710144928,0.9682539682539683,0.07173245466606762,0.06629659618661254
77,compressed,Compressed Derived,418,122,0.9143126177024482,0.9384615384615385,0.9344262295081968,0.9104477611940298,0.9682539682539683,0.0782000000502447,0.09752029542825368
77,enhanced,Compressed + Interaction,418,122,0.9153887543718052,0.9384615384615385,0.9344262295081968,0.9104477611940298,0.9682539682539683,0.07645738772574326,0.09362380532318064
78,orig_quality_hr,Original: Quality + HR,347,130,0.9312754065040649,0.9580838323353293,0.9461538461538461,0.9411764705882353,0.975609756097561,0.068590940375078,0.09555430398228366
78,orig_sleep_pa,Original: Sleep + PA,347,130,0.9339430894308943,0.9325153374233128,0.9153846153846154,0.9382716049382716,0.926829268292683,0.07783479455465589,0.11555559255069901
78,orig_sleep_hr,Original: Sleep + HR,347,130,0.9319105691056909,0.9325153374233128,0.9153846153846154,0.9382716049382716,0.926829268292683,0.07550416774068296,0.11791489105742073
78,orig_quality_pa,Original: Quality + PA,347,130,0.9305132113821137,0.9325153374233128,0.9153846153846154,0.9382716049382716,0.926829268292683,0.06840975822933534,0.08733064543957546
78,compressed,Compressed Derived,347,130,0.9279725609756097,0.9325153374233128,0.9153846153846154,0.9382716049382716,0.926829268292683,0.07391798121840783,0.10054688430556054
78,enhanced,Compressed + Interaction,347,130,0.9274644308943089,0.9325153374233128,0.9153846153846154,0.9382716049382716,0.926829268292683,0.07299150213763085,0.09206432092165755
79,orig_quality_hr,Original: Quality + HR,384,130,0.9082424242424242,0.8620689655172413,0.8769230769230769,0.819672131147541,0.9090909090909091,0.10498703114631716,0.05780239921541218
79,orig_sleep_pa,Original: Sleep + PA,384,130,0.8932121212121212,0.8547008547008547,0.8692307692307693,0.8064516129032258,0.9090909090909091,0.109375433153966,0.07966419847520692
79,orig_sleep_hr,Original: Sleep + HR,384,130,0.8987878787878788,0.8547008547008547,0.8692307692307693,0.8064516129032258,0.9090909090909091,0.10721270768957754,0.10263062649127894
79,orig_quality_pa,Original: Quality + PA,384,130,0.9084848484848483,0.8620689655172413,0.8769230769230769,0.819672131147541,0.9090909090909091,0.10590302729033033,0.06397020499866375
79,compressed,Compressed Derived,384,130,0.9044848484848484,0.8620689655172413,0.8769230769230769,0.819672131147541,0.9090909090909091,0.10505761682758243,0.09083966271372304
79,enhanced,Compressed + Interaction,384,130,0.9030303030303028,0.8547008547008547,0.8692307692307693,0.8064516129032258,0.9090909090909091,0.10847229164782392,0.08636113796887238
80,orig_quality_hr,Original: Quality + HR,349,169,0.9118093503339405,0.8709677419354839,0.9053254437869822,0.8571428571428571,0.8852459016393442,0.07973728140907217,0.06581169495585773
80,orig_sleep_pa,Original: Sleep + PA,349,169,0.9131754705525197,0.8524590163934426,0.893491124260355,0.8524590163934426,0.8524590163934426,0.08526945100208122,0.060013834072624526
80,orig_sleep_hr,Original: Sleep + HR,349,169,0.914541590771099,0.8709677419354839,0.9053254437869822,0.8571428571428571,0.8852459016393442,0.08214324872270447,0.07348069831429906
80,orig_quality_pa,Original: Quality + PA,349,169,0.9108986035215544,0.8709677419354839,0.9053254437869822,0.8571428571428571,0.8852459016393442,0.08120214929256402,0.07267027667017344
80,compressed,Compressed Derived,349,169,0.9142380085003036,0.8852459016393442,0.9171597633136095,0.8852459016393442,0.8852459016393442,0.08094454866140365,0.06411081971968619
80,enhanced,Compressed + Interaction,349,169,0.9166666666666666,0.8709677419354839,0.9053254437869822,0.8571428571428571,0.8852459016393442,0.08112235514708985,0.051711979198500534
81,orig_quality_hr,Original: Quality + HR,369,148,0.9118303571428571,0.8818897637795275,0.8986486486486487,0.8888888888888888,0.875,0.08910570830471005,0.04953124947718269
81,orig_sleep_pa,Original: Sleep + PA,369,148,0.8994605654761904,0.8818897637795275,0.8986486486486487,0.8888888888888888,0.875,0.09493009366491502,0.0752924273096106
81,orig_sleep_hr,Original: Sleep + HR,369,148,0.9085751488095237,0.8818897637795275,0.8986486486486487,0.8888888888888888,0.875,0.09353335167165372,0.051055930825587875
81,orig_quality_pa,Original: Quality + PA,369,148,0.9153645833333333,0.8818897637795275,0.8986486486486487,0.8888888888888888,0.875,0.08913409837511854,0.04977092417233428
81,compressed,Compressed Derived,369,148,0.9184337797619048,0.8818897637795275,0.8986486486486487,0.8888888888888888,0.875,0.09071420147917654,0.060691546268650996
81,enhanced,Compressed + Interaction,369,148,0.9143415178571428,0.8818897637795275,0.8986486486486487,0.8888888888888888,0.875,0.09044421191196128,0.05029622238169527
82,orig_quality_hr,Original: Quality + HR,388,134,0.9435028248587571,0.8813559322033898,0.8955223880597015,0.8813559322033898,0.8813559322033898,0.07983406803907918,0.047159619099632434
82,orig_sleep_pa,Original: Sleep + PA,388,134,0.9438418079096046,0.8739495798319328,0.8880597014925373,0.8666666666666667,0.8813559322033898,0.08926363569766005,0.07541465271383352
