repeat,fold,scoring,model,model_label,best_c,best_weight,roc_auc,f1,accuracy,precision,recall,brier,ece
4,2,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.1,None,0.9756189047261815,0.9090909090909091,0.918918918918919,0.8571428571428571,0.967741935483871,0.06708775069128613,0.12485927961475282
4,2,neg_log_loss,orig_quality_pa,Original: Quality + PA,0.1,None,0.9568642160540135,0.9090909090909091,0.918918918918919,0.8571428571428571,0.967741935483871,0.062186347589074605,0.12456551599427812
4,2,neg_log_loss,compressed,Compressed Derived,0.1,None,0.9688672168042011,0.967741935483871,0.972972972972973,0.967741935483871,0.967741935483871,0.0636234746090853,0.13031169043082994
4,2,neg_log_loss,enhanced,Compressed + Interaction,0.1,None,0.9718679669917479,0.9090909090909091,0.918918918918919,0.8571428571428571,0.967741935483871,0.060588641356130235,0.11903784724445994
4,3,neg_log_loss,orig_quality_hr,Original: Quality + HR,0.1,None,0.9585777126099707,0.8813559322033898,0.9066666666666666,0.9285714285714286,0.8387096774193549,0.07387202980578866,0.12088403940364725
4,3,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,0.1,None,0.9582111436950147,0.8813559322033898,0.9066666666666666,0.9285714285714286,0.8387096774193549,0.08899220159757042,0.13695908463370984
4,3,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.1,None,0.9618768328445748,0.8813559322033898,0.9066666666666666,0.9285714285714286,0.8387096774193549,0.08278871171314044,0.12684490501086526
4,3,neg_log_loss,orig_quality_pa,Original: Quality + PA,1.0,None,0.9556451612903225,0.8813559322033898,0.9066666666666666,0.9285714285714286,0.8387096774193549,0.06860963157441828,0.09290016167570447
4,3,neg_log_loss,compressed,Compressed Derived,0.1,None,0.9618768328445748,0.8813559322033898,0.9066666666666666,0.9285714285714286,0.8387096774193549,0.07789415829282409,0.12513933595724883
4,3,neg_log_loss,enhanced,Compressed + Interaction,0.1,None,0.9582111436950147,0.8813559322033898,0.9066666666666666,0.9285714285714286,0.8387096774193549,0.08330777108074267,0.12360957321301012
4,4,neg_log_loss,orig_quality_hr,Original: Quality + HR,0.1,None,0.9381095273818454,0.9152542372881356,0.9324324324324325,0.9642857142857143,0.8709677419354839,0.06661783427930285,0.0810723135128394
4,4,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,0.1,None,0.8953488372093024,0.9152542372881356,0.9324324324324325,0.9642857142857143,0.8709677419354839,0.07343985887648263,0.09463095219144457
4,4,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.1,None,0.9013503375843961,0.9152542372881356,0.9324324324324325,0.9642857142857143,0.8709677419354839,0.06969683644664854,0.06229301931126169
4,4,neg_log_loss,orig_quality_pa,Original: Quality + PA,1.0,None,0.896099024756189,0.9152542372881356,0.9324324324324325,0.9642857142857143,0.8709677419354839,0.06973827947159192,0.09192654629015863
4,4,neg_log_loss,compressed,Compressed Derived,0.1,None,0.9216054013503376,0.9152542372881356,0.9324324324324325,0.9642857142857143,0.8709677419354839,0.07074056202114491,0.08936180646467701
